PROMOTOR-GESTOR,ACCES,TIPUS VELOCITAT,TIPUS CONNEXIÓ,LATITUD,LONGITUD,DESIGNACIÓ-DESCRIPTIVA,POTENCIA,TIPUS DE CORRENT,INDENTIFICADOR,ADREÇA,PROVINCIA,CODIPROV,MUNICIPI,NPLACES ESTACIÓ,TIPUS VEHICLE,Columna amb georeferència,LIMADM_MUNICIPI,LIMADM COMARCA
,,semiRAPID i NORMAL,MENNEKES.F + Schuko,42.36972,2.98167,EdRsR Sant Climent Sescebes (AC22kW),22,AC,,"Carrer de Icària, 14",Girona,17,Sant Climent Sescebes,1,cotxe i moto,POINT (2.98167 42.36972),390,6
Ajuntament de Llinars del Vallès,,NORMAL,Schuko,41.640184225,2.399023735,Ajuntament de Llinars del Vallès,,,,"Avinguda  Pau Casals, 26",Barcelona,8,Llinars del Vallès,1,,POINT (2.399023735 41.640184225),797,22
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.416515,2.180421,B:SM 26 - Pg. Maragall (C.A.P.),,,BSM028,"Passeig  de Maragall, 54",Barcelona,8,Barcelona,4+2,cotxe i moto,POINT (2.180421 41.416515),512,29
,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.1896,1.56745,EdRR Calafell (DC50kW-AC45kW),50,AC-DC,,"Carretera Sanatori, 29",Tarragona,43,Calafell,,,POINT (1.56745 41.1896),460,33
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.380864,2.183077,B:SM 23 - Moll de la Fusta,,,BSM010,Carrer de l'Ictineu,Barcelona,8,Barcelona,4+1,cotxe i moto,POINT (2.183077 41.380864),512,29
TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.6894,2.81794,TESLA Destinació - Hotel Santa Marta (22kW),22,AC,,Platja de Santa Cristina,Girona,17,Lloret de Mar,1,cotxe,POINT (2.81794 41.6894),751,20
Ajuntament de Rubí,APARCAMENT PUBLIC,semiRAPID,MENNEKES+Schuko,41.501781,2.029948,EdRsR Rubí BRILLA-Can Serra (7.5kW),7.5,AC,,"Carrer de Can Serra, 3",Barcelona,8,Rubí,2+2+3,cotxe i moto,POINT (2.029948 41.501781),908,26
Ajuntament de Balaguer,VIA PUBLICA,semiRAPID,2xMENNEKES.F,41.78955,0.80485,EdRsR Balaguer (AC11kW),11,AC,,"Plaça del Mercadal, 1-3",Lleida,25,Balaguer,2,cotxe i moto,POINT (0.80485 41.78955),685,15
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.399815,2.123474,B:SM 32 - Porta de Sarrià,,,BSM023,"Carrer de Salvador Mundí, 17",Barcelona,8,Barcelona,2+1,cotxe i moto,POINT (2.123474 41.399815),512,29
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.40247,2.204062,B:SM 4 - Bilbao-Llull,,,BSM011,"Carrer de Bilbao, 24",Barcelona,8,Barcelona,3+1,cotxe i moto,POINT (2.204062 41.40247),512,29
Hotel Ciutat de Granollers,APARCAMENT HOTEL,NORMAL,MENNEKES.F+Schuko,41.60092,2.29588,Hotel Ciutat de Granollers,,,,"Carrer del Turó Groguet, 2",Barcelona,8,Granollers,1,cotxe,POINT (2.29588 41.60092),560,22
Institut Català d'Energia i GESTVIA Calella,,semiRAPID i NORMAL,MENNEKES.F + Schuko,41.61658,2.66029,EdRsR Calella (AC22kW) PIRVEC-23,22,AC,PIRVEC-23,Carrer de Sant Joan - Carretera N-II,Barcelona,8,Calella,2,,POINT (2.66029 41.61658),932,25
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.4044,2.1972,B:SM 34 - Rambla Poblenou,,,BSM038,"Rambla del Poblenou, 130",Barcelona,8,Barcelona,3,cotxe,POINT (2.1972 41.4044),512,29
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.391087,2.147544,B:SM 53 - Londres,,,BAMSA015,"Carrer de Londres, 55",Barcelona,8,Barcelona,1,cotxe,POINT (2.147544 41.391087),512,29
REGESA,APARCAMENT CC,NORMAL,Schuko,41.363926804,2.127766612,CC BCN-Francesc Macià,,,,Carrer Francesc Macià,Barcelona,8,L'Hospitalet de Llobregat,2,,POINT (2.127766612 41.363926804),117,29
Ajuntament de Granollers,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.60002,2.28025,EdRR Granollers (DC50kW AC43kW),50,AC-DC,,"Carrer Camp de les Moreres, 25",Barcelona,8,Granollers,2,,POINT (2.28025 41.60002),560,22
BIMSA,VIA PUBLICA,NORMAL,Schuko,41.394501,2.152312,Lateral-Mar Diagonal (Aribau-Enric Granados) 1,,,LC043,"Avinguda Diagonal, 429",Barcelona,8,Barcelona,2,moto,POINT (2.152312 41.394501),512,29
,VIA PUBLICA,NORMAL,Schuko,41.38028,2.18729,AjBCN-Joan de Borbó,,,,"Joan de Borbó, 12 - Maquinista",Barcelona,8,Barcelona,2,moto,POINT (2.18729 41.38028),512,29
Endesa-Cepsa,ESTACIÓ SERVEI,FORA DE SERVEI,CHAdeMO,41.40604,2.201385,EdRR ES Cepsa-Endesa (DC50kW),50,DC,,"Carrer de Lope de Vega, 125",Barcelona,8,Barcelona,1,cotxe,POINT (2.201385 41.40604),512,29
Area Metropolitana de Barcelona,VIA PUBLICA (AMB),RAPID i NORMAL,CCS Combo2+ChadeMO+MENNEKES.M+shucko,41.45496,2.22666,EdRR Montigalà (DC50kW AC43kW) AMB5,50,AC-DC,AMB5,"Carrer d'Anna Tugas, 26",Barcelona,8,Badalona,4,cotxe i moto,POINT (2.22666 41.45496),531,29
EUSAB,APARCAMENT CC,NORMAL,Schuko,41.43054737,2.218260673,Aparcament Plaça de la Vila,,,,Plaça de la Vila,Barcelona,8,Sant Adrià de Besòs,2,,POINT (2.218260673 41.43054737),841,29
Vincipark,APARCAMENT PUBLIC,NORMAL,Schuko,41.382694,2.139639,Aparcament Vincipark Numància,,,,"Carrer de Numància, 37",Barcelona,8,Barcelona,3,,POINT (2.139639 41.382694),512,29
Gintra- Ap.TECNOCAMPUS,APARCAMENT PUBLIC,NORMAL,Schuko,41.527773587,2.433324182,Gintra-Ap.TECNOCAMPUS,,,,"Carrer Tordera, 2",Barcelona,8,Mataró,1,,POINT (2.433324182 41.527773587),701,25
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.411148,2.174359,B:SM 2 - Avinguda Gaudí,,,BSM006,"Carrer dels Castillejos, 330 (E1), Carrer de Cartagena, 319 (E2)",Barcelona,8,Barcelona,3+1,cotxe i moto,POINT (2.174359 41.411148),512,29
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.39846,2.186665,B:SM 29 - Plaça de les Arts - TNC,,,BSM032,"Carrer de Padilla, 159",Barcelona,8,Barcelona,4+2,cotxe i moto,POINT (2.186665 41.39846),512,29
AEB,VIA PUBLICA,NORMAL,Schuko,41.420052,2.181559,95 AjBCN-ETRA-COBRA Maragall-Olesa,,,LC020,"Plaça de Maragall, 21",Barcelona,8,Barcelona,2,cotxe i moto,POINT (2.181559 41.420052),512,29
TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.41069,2.13629,TESLA Destinació - Restaurant Hotel ABaC (22kW),22,AC,,"Avinguda Tibidabo, 1",Barcelona,8,Barcelona,1,cotxe,POINT (2.13629 41.41069),512,29
,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.19262,1.60395,EdRR Segur de Calafell (DC50kW-AC45kW),50,AC-DC,,"Carretera Barcelona, 82",Tarragona,43,Segur de Calafell,,,POINT (1.60395 41.19262),460,33
CIRCONTROL,APARCAMENT SEU (PRIVAT),semiRAPID i NORMAL,MENNEKES.M+Schuko,41.560821,1.961738,Seu CIRCONTROL 22kW,22,AC,,"Carrer Innovació,3 - P I. Can Mitjans",Barcelona,8,Viladecavalls,4+3,cotxe i moto,POINT (1.961738 41.560821),697,26
SABA,APARCAMENT PUBLIC,NORMAL,Schuko,41.393417,2.10702,81 SABA Escultor Ramir,,,,"Plaça de l'Escultor Ramir Rocamora - Avinguda  Pearson, 21",Barcelona,8,Barcelona,2,cotxe,POINT (2.10702 41.393417),512,29
AMERSAM,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.153851,1.101613,Aparcament Passeig Prim,,,,"Camí de Riudoms, 27",Tarragona,43,Reus,2,cotxe i moto,POINT (1.101613 41.153851),421,39
TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.81987,2.96417,TESLA Destinació - Salles Hotel Mas Tapiolas (22kW),22,AC,,Carretera C-65 km. 7,Girona,17,Santa Cristina d'Aro,1,cotxe,POINT (2.96417 41.81987),642,16
GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.39347,2.20446,EdRR-Vil·la Olimpica-ES Repsol-McDonald's (DC50kW AC43kW),50,AC-DC,FC001,"Avinguda del Litoral,49,  Sortida 23- Carrer de Badajoz",Barcelona,8,Barcelona,1,cotxe,POINT (2.20446 41.39347),512,29
,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.25937,1.77389,EdRsR Sant Pere de Ribes 1 (AC22kW),22,AC,,"Lluís Companys, 75",Barcelona,8,Sant Pere de Ribes,2,cotxe i moto,POINT (1.77389 41.25937),541,34
