PROMOTOR-GESTOR,ACCES,TIPUS VELOCITAT,TIPUS CONNEXIÓ,LATITUD,LONGITUD,DESIGNACIÓ-DESCRIPTIVA,POTENCIA,TIPUS DE CORRENT,INDENTIFICADOR,ADREÇA,PROVINCIA,CODIPROV,MUNICIPI,NPLACES ESTACIÓ,TIPUS VEHICLE,Columna amb georeferència,LIMADM_MUNICIPI,LIMADM COMARCA
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.396853,2.126718,B:SM 6 -  Cardenal Sentmenat - Vergós,,,BSM030,"Carrer del Cardenal de Sentmenat, 8",Barcelona,8,Barcelona,3+3,cotxe i moto,POINT (2.126718 41.396853),512,29
TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.38702,2.19608,TESLA Destinació - Hotel Arts (22kW),22,AC,,Carrer de la Marina 19-21,Barcelona,8,Barcelona,2,cotxe,POINT (2.19608 41.38702),512,29
,,semiRAPID,TESLA i MENNEKES,41.44083,2.19849,CC La Maquinista (22kW),22,AC,,"Carrer de Potosí, 2",Barcelona,8,Barcelona,4,,POINT (2.19849 41.44083),512,29
Institut Català d'Energia i GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.37996,2.13914,"EdRRx2-Estació Sants, Ap. Zona Autobusos (DC50kW AC43kW)",50,AC-DC,PIRVEC-11 + FC003,"Carrer Viriat, 5-23",Barcelona,8,Barcelona,2,cotxe,POINT (2.13914 41.37996),512,29
GAICU,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,4140562,2.19299,(eDUM) El Parc i la Llacuna (7.4kW),7.5,AC,QC001,"Carrer de la Llacuna, 149",Barcelona,8,Barcelona,2,mercaderies,POINT (2.19299 4140562),,
TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,40.582356,0.555737,TESLA Destinació - Hotel Carlos III (22kW),22,AC,,"Carretera de Sant Carles a Alcanar, km 4",Tarragona,43,Alcanar,1,cotxe,POINT (0.555737 40.582356),228,41
Ajuntament de Terrassa,APARCAMENT PUBLIC,NORMAL,Schuko,41.56074,2.0064,Plaça Progrés-Cotxes,,,,"Carrer Arquimedes, 155",Barcelona,8,Terrassa,3,moto,POINT (2.0064 41.56074),862,26
,,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.18619,1.51388,Caprabo Benzinera,,,,Avinguda Masos-Carretera N-340,Tarragona,43,El Vendrell,2,cotxe i moto,POINT (1.51388 41.18619),456,33
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.386972,2.197056,B:SM 19 - Marina Port,,,BSM013,"Carrer de la Marina, 13-17",Barcelona,8,Barcelona,7+2,cotxe i moto,POINT (2.197056 41.386972),512,29
,,semiRAPID,2xMENNEKES.F,41.75275,1.87231,EdRsR Sant Fruitós del Bages 2 (AC22kW),22,AC,,"Avinguda Bertrand i Serra, 22",Barcelona,8,Sant Fruitós de Bages,,,POINT (1.87231 41.75275),788,18
Institut Català d'Energia i GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.432965,2.203728,EdRR-Fra Juniper Serra (DC50kW AC43kW),50,AC-DC,PIRVEC-9 + FC015,"Carrer Fra Juniper Serra,  59",Barcelona,8,Barcelona,1,cotxe,POINT (2.203728 41.432965),512,29
Ajuntament de Mataró,,semiRAPID,,41.53882,2.44245,EdRsR Mataró Tereses (AC22kW),22,AC,,"Plaça de les Tereses, 3-5",Barcelona,8,Mataró,2,,POINT (2.44245 41.53882),701,25
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.385727,2.14285,B:SM 52 - Tarradelles-Entença,,,BAMSA013,"Avinguda  de Josep Tarradellas, 64",Barcelona,8,Barcelona,1,cotxe,POINT (2.14285 41.385727),512,29
Institut Català d'Energia i Ajuntament de Puigcerdà,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,42.42681,1.92922,EdRR Puigcerdà (DC50kW AC43kW) PIRVEC-20,50,AC-DC,PIRVEC-20,"Camí d'Age, 21",Girona,17,Puigcerdà,2,,POINT (1.92922 42.42681),348,4
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.42077,2.151564,B:SM 43 - Salvador Allende,,,BSM040,Plaça de Salvador Allende,Barcelona,8,Barcelona,4,cotxe,POINT (2.151564 41.42077),512,29
,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.15188,1.21437,EdRsR Constantí (AC22kW),22,AC,,"Carrer de Barcelona, 10",Tarragona,17,Constantí,2,cotxe i moto,POINT (1.21437 41.15188),420,37
REGESA,APARCAMENT PUBLIC,NORMAL,Schuko,41.41851,2.186116,74 REGESA Ferran Reyes,,,,"Plaça de Ferran Reyes, 9",Barcelona,8,Barcelona,4,cotxe,POINT (2.186116 41.41851),512,29
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.459612,2.175628,B:SM 42 - Ciutat Meridiana,,,BSM035,"Carrer dels Rasos de Peguera, 51 S",Barcelona,8,Barcelona,3,cotxe o moto,POINT (2.175628 41.459612),512,29
,,semiRAPID,CCS Combo2+ChadeMO+MENNEKES.F,41.34179,1.70083,EdRsR Vilafranca del Penedés (DC25kW AC22kW),22,DC,,Camp del Cellerot,Barcelona,8,Vilafranca del Penedès,2,,POINT (1.70083 41.34179),940,32
Aparcament Europa,APARCAMENT PUBLIC,NORMAL,Schuko,41.729438,1.824378,Aparcament Europa,,,,"Carrer Pere III, 55A",Barcelona,8,Manresa,2,cotxe,POINT (1.824378 41.729438),877,18
La Roca Village,APARCAMENT,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.61369,2.34549,CC La Roca Village Aparcament (11kW),11,AC,,P.I. Can Massaguer Nord,Barcelona,8,La Roca del Vallès,2,cotxe i moto,POINT (2.34549 41.61369),939,22
Institut Català d'Energia i Ajuntament de Girona,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.96365,2.81488,EdRR Girona Sud -Quim Torra- (DC50kW AC43kW),50,AC-DC,PIRVEC-6,"Carrer del Riu Cardener, 30",Girona,17,Girona,2,cotxe,POINT (2.81488 41.96365),133,14
Endesa,VIA PUBLICA,NORMAL,Schuko,41.392296,2.132156,15 AjBCN-Endesa Sarrià-Ricard Villa,,,LC013,"Avinguda  de Sarrià, 130",Barcelona,8,Barcelona,2,moto,POINT (2.132156 41.392296),512,29
Vincipark,APARCAMENT PUBLIC,NORMAL,Schuko,41.373722,2.170482,Aparcament Vincipark Vilà i Vilà,,,,"Carrer de Vilà i Vilà, 44",Barcelona,8,Barcelona,3,cotxe i moto,POINT (2.170482 41.373722),512,29
CC CARREFOUR MANRESA,APARCAMENT CC,NORMAL,Schuko,41.7227,1.8456,CC CARREFOUR MANRESA,,,,Carrer de Joan Fuster-Avinguda Països Catalans,Barcelona,8,Manresa,1,,POINT (1.8456 41.7227),877,18
,,semiRAPID i NORMAL,MENNEKES.F + Schuko,41.74441,1.8054,EdRsR Vilatorrada (AC22kW),22,AC,,"Carrer Major, 54",Barcelona,8,Sant Joan de Vilatorrada,,,POINT (1.8054 41.74441),819,18
Ajuntament de  El Masnou,VIA PUBLICA,FORA DE SERVEI,Schuko,41.477990439,2.304726294,Ajuntament de El Masnou 1,,,,"Passeig Joan Carles I, 12",Barcelona,8,El Masnou,1,,POINT (2.304726294 41.477990439),96,25
BIMSA,VIA PUBLICA,NORMAL,Schuko,41.396282,2.159285,Lateral-Mar Diagonal (Còrsega) 2,,,LC046,"Avinguda Diagonal, 387",Barcelona,8,Barcelona,2,moto,POINT (2.159285 41.396282),512,29
Hotel MEDITERREAN LODGE L'Ampolla Resort,HOTEL,NORMAL,Schuko,40.8212,0.6887,Hotel MEDITERRANEAN LODGE L'Ampolla Resort,,,,"Partida Mataret, 155",Tarragona,43,L'Ampolla,1,cotxe i moto,POINT (0.6887 40.8212),212,40
TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.79054,3.0558,TESLA Destinació - Hostal de la Gavina (11kW),11,AC,,"Plaça Rosaleda, S/N",Girona,17,S'Agaró,1,cotxe,POINT (3.0558 41.79054),749,16
Endesa,VIA PUBLICA,NORMAL,Schuko,41.389255,2.161321,28 AjBCN-Endesa-Aragó-Pl.Letamendi,,,LC008,"Plaça del Dr. Letamendi, 30-33",Barcelona,8,Barcelona,2,moto,POINT (2.161321 41.389255),512,29
,,semiRAPID,,40.80762,0.52007,EdRsR Tortosa (AC22kW) PIRVEC-24,22,AC,PIRVEC-24,"Carrer d'Alcanyís, 9",Tarragona,43,Tortosa,,,POINT (0.52007 40.80762),211,40
CC CARREFOUR Tarragona,APARCAMENT CC,NORMAL,Schuko,41.12742844368022,1.206863969564438,CC CARREFOUR TARRAGONA,,,,"Carretera de Reus, 57-59, AP-7",Tarragona,43,Tarragona,2,cotxe i moto,POINT (1.2068639695644379 41.12742844368022),230,37
Area Metropolitana de Barcelona,VIA PUBLICA (AMB),RAPID i NORMAL,CCS Combo2+ChadeMO+MENNEKES.M+shucko,41.49223,2.1856,EdRR Montcada i Reixac (DC50kW AC43kW) AMB10,50,AC-DC,AMB10,"Carrer Tarragona, 32",Barcelona,8,Montcada i Reixac,2,,POINT (2.1856 41.49223),936,26
Endesa,VIA PUBLICA,NORMAL,Schuko,41.393948,2.156007,22 AjBCN-Endesa,,,LC003,"Carrer de Còrsega, 264",Barcelona,8,Barcelona,2,moto,POINT (2.156007 41.393948),512,29
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.383144,2.150551,B:SM 55 - Calàbria-València,,,BAMSA008,"Carrer de València,77 - Carrer de Calàbria, 182",Barcelona,8,Barcelona,1,cotxe,POINT (2.150551 41.383144),512,29
Bassols energia,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,42.18294,2.48422,Aparcament Centre,,,,"Carrer Bisbe Ramon Guillamet, 7",Girona,17,Olot,2,cotxe i moto,POINT (2.48422 42.18294),294,10
,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.23829,1.75831,EdRsR Sant Pere de Ribes 3 (AC6kW),6,AC,,"Carrer les Modistes, 8",Barcelona,8,Sant Pere de Ribes,2,cotxe i moto,POINT (1.75831 41.23829),541,34
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.4092,2.1681,B:SM 18 - Marina Gracia,,,BSM025,"Carrer de la Marina, 345",Barcelona,8,Barcelona,4+2,cotxe i moto,POINT (2.1681 41.4092),512,29
22@,VIA PUBLICA,NORMAL,Schuko,41.396934,2.199915,30 AjBCN-22@ Ciutat de Granada,,,LC025,"Carrer de la Ciutat de Granada, 19",Barcelona,8,Barcelona,1,cotxe i moto,POINT (2.199915 41.396934),512,29
Ajuntament de la Seu d'Urgell,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,42.3556,1.46035,EdRsR La Seu d'Urgell (AC22kW),22,AC,,Passeig Joan Brudieu,LLeida,25,La Seu d'Urgell,2,cotxe,POINT (1.46035 42.3556),387,5
,VIA PUBLICA,superRAPID,TESLA,42.35895,1.46278,TESLA Supercarregador - La Seu d'Urgell (120kW),120,DC,,,Lleida,25,La Seu d’Urgell,10,cotxe,POINT (1.46278 42.35895),387,5
PETROMIRALLES,ESTACIÓ SERVEI,NORMAL,Schuko,41.588905,1.6218929,ES PetroMiralles,,,,"Carrer Guimaraes, 2",Barcelona,8,Igualada,1,,POINT (1.6218929 41.588905),595,24
Institut Català d'Energia i Ajuntament de Roses,,semiRAPID i NORMAL,CCS Combo2+ChadeMO+MENNEKES.F,42.26344,3.1787,EdRsR Roses (DC28kW AC22kW) PIRVEC-21,22,AC-DC,PIRVEC-21,"Carrer de la Riera Ginjolers, 68",Girona,17,Roses,2,,POINT (3.1787 42.26344),363,6
Institut Català d'Energia i Ajuntament d'Amposta,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,40.7124,0.57921,EdRR Amposta (DC50kW AC43kW),50,AC-DC,PIRVEC-1,"Avinguda de l'Alcalde Palau, 57",Tarragona,43,Amposta,2,cotxe,POINT (0.57921 40.7124),227,41
ESSER,ESTACIÓ DE SERVEI,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.71353,2.83089,EdRR ESSER Lloret (DC50kW AC43kW),50,AC-DC,,"Avinguda de les Alegries, 89-91",Barcelona,8,Lloret de Mar,2,,POINT (2.83089 41.71353),751,20
Endesa,VIA PUBLICA,NORMAL,Schuko,41.43491,2.148409,03 AjBCN-Endesa Vall d'Hebron,,,LC032,"Arquitecte Moragas,31 - Avinguda  Can Marcet,36",Barcelona,8,Barcelona,2,moto,POINT (2.148409 41.43491),512,29
Ajuntament de Manresa,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.73682408,1.82836016,EdRsR Escola Politècnica Superior d'Enginyeria (AC22kW i 3.7kW),22,AC,,"Avinguda de les bases de Manresa, 61",Barcelona,8,Manresa,1,,POINT (1.82836016 41.73682408),877,18
Melià BCN,HOTEL,NORMAL,Schuko,41.390865,2.141604,Melià BCN,,,,"Avinguda  Sarrià, 50",Barcelona,8,Barcelona,2,cotxe,POINT (2.141604 41.390865),512,29
VNG Charlie Rivel,APARCAMENT PUBLIC,NORMAL,Schuko,41.220585799,1.723097599,Aparcament Charlie Rivel,,,,"Carrer del Pare Garí, 91",Barcelona,8,Vilanova i la Geltrú,2,cotxe i moto,POINT (1.723097599 41.220585799),412,34
Endesa,VIA PUBLICA,NORMAL,Schuko,41.438882,2.181366,09 AjBCN-Endesa,,,LC018,"Carrer Rio de Janeiro, 81 - Passeig Valldaura",Barcelona,8,Barcelona,2,moto,POINT (2.181366 41.438882),512,29
BIMSA,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.388226,2.169769,(eTAXI)EdRR-Passeig de Gràcia-Casp (DC50kW AC43kW),50,AC-DC,FC010,"Passeig de Gràcia, 3",Barcelona,8,Barcelona,1,cotxe,POINT (2.169769 41.388226),512,29
Port Aventura,APARCAMENT PORT AVENTURA,NORMAL,MENNEKES.F+Schuko,41.087507,1.152312,Aparcament Port Aventura World,,,,Avinguda Pere Molas,Tarragona,43,Salou,2,cotxe i moto,POINT (1.152312 41.087507),160,37
Gran Jonquera,APARCAMENT CC,NORMAL,MENNEKES.F+Schuko,42.40251,2.88104,Gran Jonquera,,,,"Avinguda de Galícia, 22-28",Girona,17,La Jonquera,4+2,cotxe i moto,POINT (2.88104 42.40251),344,6
SERVICIOS MERIDIANA,APARCAMENT PUBLIC,NORMAL,Schuko,41.402645,2.202802,116 SERVICIOS MERIDIANA,,,,"Passatge Saladrigas, 4-6",Barcelona,8,Barcelona,6,cotxe i moto,POINT (2.202802 41.402645),512,29
TABASA,APARCAMENT PUBLIC,NORMAL,Schuko,41.4812,2.0726,TABASA Estació FGC VOLPELLERES,,,,Plaça de l'estació,Barcelona,8,Sant Cugat del Valles,1,cotxe,POINT (2.0726 41.4812),937,26
"IBERDROLA SERVICIOS ENERGETICOS, SAU",VIA PUBLICA,NORMAL,Schuko,41.4064,2.2012,123 MOBECPOINT-Hotel Me,,,LC040,"Carrer de Lope de Vega, 158 - Carrer Pere IV",Barcelona,8,Barcelona,9,moto,POINT (2.2012 41.4064),512,29
,,semiRAPID,2xMENNEKES.F,41.74441,1.8054,EdRsR Sant Joan de Vilatorrada (AC22kW),22,AC,,"Carrer Major, 54",Barcelona,8,Sant Joan de Vilatorrada,2,,POINT (1.8054 41.74441),819,18
ENGESTUR,APARCAMENT CC,NORMAL,Schuko,41.454699911,2.243362333,CC BCN-Illa Central,,,,Avinguda  Martí Pujol,Barcelona,8,Badalona,6,,POINT (2.243362333 41.454699911),531,29
,,semiRAPID,2xMENNEKES.F + 2xSchuko,41.5858,2.17639,EdRsR Fenie Palau de Plegamans i Solità (AC22kW),22,AC,,"Carrer de Folch i Torres, 37",Barcelona,8,Palau de Plegamans i Solità,2,cotxe,POINT (2.17639 41.5858),577,26
,APARCAMENT HOTEL,semiRAPID,TESLA,41.91431,1.68565,TESLA Destinació - Parador Cardona (11kW),11,AC,,Castell de Cardona s/n,Barcelona,9,Cardona,2,,POINT (1.68565 41.91431),140,18
AMERSAM,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.152793,1.10902,Aparcament Baluard,,,,"Raval Robuster, 47",Tarragona,43,Reus,2,cotxe i moto,POINT (1.10902 41.152793),421,39
Institut Català d'Energia i Ajuntament de Mataró,,semiRAPID,2xMENNEKES.F,41.54458,2.44729,EdRsR Mataró Rocafonda (AC22kW),22,AC,,"Carrer Rocafonda, 2",Barcelona,8,Mataró,2,,POINT (2.44729 41.54458),701,25
,,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.58935,1.62138,Aparcament Park Igualada N SIMA (AC22kW),22,AC,,"Carrer de Lecco, 30",Barcelona,8,Igualada,2,,POINT (1.62138 41.58935),595,24
HOTEL NH CONSTANZA,HOTEL,NORMAL,Schuko,41.38879,2.136332,103 HOTEL NH CONSTANZA,,,,"Carrer de Déu i Mata, 69",Barcelona,8,Barcelona,1,cotxe,POINT (2.136332 41.38879),512,29
Ajuntament Cambrils,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.06491,1.05732,EdRsR Cambrils 1 (7.5kW),7.5,AC,,"Carrer de Robert Gerhard, 4",Tarragona,43,Cambrils,4,cotxe i moto,POINT (1.05732 41.06491),158,39
AMERSAM,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.15932,1.102465,Aparcament Sant Ferran,,,,"Carrer de Joan Martell, 23",Tarragona,43,Reus,2,cotxe i moto,POINT (1.102465 41.15932),421,39
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.385654,2.177128,B:SM 51 - Mercat Santa Caterina,,,BAMSA004,"Avinguda  de Francesc Cambó, 10",Barcelona,8,Barcelona,1,cotxe o moto,POINT (2.177128 41.385654),512,29
TESLA,VIA PUBLICA,superRAPID,TESLA,40.75288,0.60629,TESLA Supercarregador - L'Aldea (120kW),120,DC,,"P.I. Les Mercaderias N-235, N-340",Tarragona,43,L'Aldea,6,cotxe,POINT (0.60629 40.75288),216,40
Aparcament Els Costals,APARCAMENT PUBLIC,NORMAL,Schuko,41.4741,1.98295,Aparcament Els Costals,,,,"Avinguda de Pau Casals, 16",Barcelona,8,Castellbisbal,,cotxe i moto,POINT (1.98295 41.4741),946,26
AEB,VIA PUBLICA,NORMAL,Schuko,41.394226,2.169715,88 AjBCN-ETRA COBRA Bruc-Consell de Cent,,,LC007,"Carrer del Bruc, 84",Barcelona,8,Barcelona,2,cotxe i moto,POINT (2.169715 41.394226),512,29
Ajuntament Sant Vicenç Montalt,APARCAMENT PUBLIC,NORMAL,Schuko,41.56712807840754,2.521523907780647,"Pèrgola FV, Aparcament N-II",,,,"Carretara N-II, Carretera Sant Vicenç de Montalt BV-5034",Barcelona,8,Caldes d'Estrach,2,cotxe i moto,POINT (2.5215239077806473 41.56712807840754),757,25
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.405746,2.162722,B:SM 28 - Plaça Joanic,,,BSM021,"Carrer de l'Escorial, 1 - Pl. Joanic, 1",Barcelona,8,Barcelona,3+1,cotxe i moto,POINT (2.162722 41.405746),512,29
CORIO REAL ESTATE,APARCAMENT CC,NORMAL,Schuko,41.375511,2.182206,CC Maremagnum,,,,"Moll d'Espanya, 5",Barcelona,8,Barcelona,2+3,cotxe i moto,POINT (2.182206 41.375511),512,29
Institut Català d'Energia i Vandellòs i l'Hospitalet de l'Infant,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,40.99197,0.92147,EdRR Vandellòs i Hospitalet de l'Infant (DC50kW AC43kW) PIRVEC-13,50,AC-DC,PIRVEC-13,"Carretera de Móra, 5",Tarragona,43,Vandellòs i l'Hospitalet i l'infant,2,,POINT (0.92147 40.99197),165,39
,,NORMAL,MENNEKES.M,41.40323,2.17113,Aparcament Sicilia,,,,"Carrer de Sicilia, 257",Barcelona,8,Barcelona,2,,POINT (2.17113 41.40323),512,29
Ajuntament de Vic,VIA PUBLICA,NORMAL,Schuko,41.933748,2.248307,Rectorat Universitat VIC,,,,"Carrer Miramarges, 4",Barcelona,8,Vic,2,moto,POINT (2.248307 41.933748),912,13
BIMSA,VIA PUBLICA,NORMAL,Schuko,41.396281,2.159284,Lateral-Mar Diagonal (Còrsega) 1,,,LC045,"Avinguda Diagonal, 387",Barcelona,8,Barcelona,2,moto,POINT (2.159284 41.396281),512,29
IBIL,ESTACIÓ DE SERVEI (IBIL),RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.11432,1.15586,IBIL ES REPSOL-Vilaseca (DC50kW AC43kW),50,AC-DC,,Avinguda Vila del Comú 22A,Tarragona,43,Vilaseca,1,cotxe,POINT (1.15586 41.11432),231,37
GAICU,VIA PUBLICA,semiRAPID,MENNEKES.F,41.375233,2.151765,(eTAXI) Llançà - Paral·lel (7.4kW),7.5,AC,QC006,"Carrer de Llançà, 3 - Avinguda  del Paral·lel",Barcelona,8,Barcelona,2,taxi,POINT (2.151765 41.375233),512,29
Area Metropolitana de Barcelona,VIA PUBLICA (AMB),RAPID i NORMAL,CCS Combo2+ChadeMO+MENNEKES.M+shucko,41.37443,2.07219,EdRR Sant Joan Despí-TV3 (DC50kW AC43kW) AMB3,50,AC-DC,AMB3,"Carrer de la TV3, 1",Barcelona,8,Sant Joan Despí,4,cotxe i moto,POINT (2.07219 41.37443),669,31
Mercat de Rubí,,NORMAL,Schuko,41.488958,2.0353593,Mercat de Rubí,,,,"Carrer Llobateres, 89",Barcelona,8,Rubí,1,,POINT (2.0353593 41.488958),908,26
REGESA,APARCAMENT PUBLIC,NORMAL,Schuko,41.420441,2.180899,75 REGESA Maragall,,,,"Plaça de Maragall, 1",Barcelona,8,Barcelona,4,cotxe,POINT (2.180899 41.420441),512,29
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.449138,2.190748,B:SM 41 - Galicia,,,BSM034,"Carrer de Galicia, 16",Barcelona,8,Barcelona,2,cotxe,POINT (2.190748 41.449138),512,29
GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.414478,2.172243,EdRR-Mas Casanova - H Sant Pau (DC50kW AC43kW),50,AC-DC,FC007,"Carrer de Mas Casanova, 69",Barcelona,8,Barcelona,1,cotxe,POINT (2.172243 41.414478),512,29
,,semiRAPID,MENNEKES,41.59329,2.28172,EdRsR Can Muntanyola (7.5kW),7.5,AC,,"Camí del Mig, 22",Barcelona,8,Granollers,,,POINT (2.28172 41.59329),560,22
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.389954,2.128284,B:SM 11 - Flos i Calcat,,,BSM004,"Carrer de Flos i Calcat, 2",Barcelona,8,Barcelona,3+1,cotxe i moto,POINT (2.128284 41.389954),512,29
TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.186289,1.159963,TESLA Destinació - Hotel Monument Mas Passamaner (22kW),22,AC,,"Cami de la Serra, 52",Tarragona,43,La Selva del Camp,2,cotxe,POINT (1.159963 41.186289),449,39
SABA,APARCAMENT PUBLIC,NORMAL,Schuko,41.385239,2.176462,79 SABA Mercat Sta.Caterina,,,,"Avinguda  de la Catedral, 8",Barcelona,8,Barcelona,2,moto,POINT (2.176462 41.385239),512,29
,,semiRAPID i NORMAL,"2xMENNEKES,F+ 2xSchuko",40.78493,0.52571,EdRsR CC Baix Ebre-Tortosa (AC22kW) PIRVEC-25,22,AC,PIRVEC-25,"Avinguda de Barcelona, 221",Tarragona,43,Tortosa,,,POINT (0.52571 40.78493),211,40
Endesa,VIA PUBLICA,NORMAL,Schuko,41.41162,2.218508,06 AjBCN-Endesa-Forum-RamblaPrim,,,LC022,"Rambla de Prim, 19",Barcelona,8,Barcelona,2,moto,POINT (2.218508 41.41162),512,29
,,semiRAPID i NORMAL,2xMENNEKES.F+2xSchuko,40.88558,0.80385,EdRsR L'Ametlla de Mar (AC22kW),22,AC,,"Carrer Sant Joan, 57",Tarragona,17,L'Ametlla de Mar,2,,POINT (0.80385 40.88558),206,40
,,semiRAPID,2xMENNEKES.F,41.54412,1.89232,EdRsR Olesa 2 (AC22kW),22,AC,,"Carrer de Mallorca, 2",Barcelona,8,Olesa de Montserrat,,,POINT (1.89232 41.54412),699,31
,,NORMAL,MENNEKES.F+Schuko,41.37758,2.08867,Esplugues S.Magdalena,,,,"Plaça Santa Magdalena, 4",Barcelona,8,Esplugues de Llobregat,1,cotxe i moto,POINT (2.08867 41.37758),830,31
Camping,APARCAMENT CAMPING,semiRAPID i NORMAL,MENNEKES.F+Schuko,42.17743,3.10797,Camping Aquarius (AC22kW),22,AC,,Camí Vell a Sant Pere Pescador,Girona,17,Sant Pere Pescador,4,cotxe i moto,POINT (3.10797 42.17743),278,6
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.4033,2.152327,B:SM 14 - Gràcia motos,,,BSM036,"Carrer Gran de Gràcia, 190",Barcelona,8,Barcelona,2,moto,POINT (2.152327 41.4033),512,29
BIMSA,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.374847,2.171055,EdRR-Seu Endesa REE-TRYP APOLO  (DC50kW AC43kW),50,AC-DC,FC011,"Avinguda  Paral·lel, 55",Barcelona,8,Barcelona,1,cotxe,POINT (2.171055 41.374847),512,29
Masià,APARCAMENT CLIENTS,NORMAL,Schuko,41.6995,2.3834,Masia Can Pau Filbà,,,,Masia aïllada,Barcelona,8,Sant Pere Vilamajor,2,cotxe i moto,POINT (2.3834 41.6995),927,22
Ajuntament de  Granollers,VIA PUBLICA,NORMAL,Schuko,41.608160167,2.287309987,Aparcament Can Comas,,,,"Plaça de la Porxada, 6",Barcelona,8,Granollers,3,cotxe i moto,POINT (2.287309987 41.608160167),560,22
NIKE,APARCAMENT,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.61451,2.34642,CC NIKE MegaStore La Roca Village (11kW),11,AC,,P.I. Can Massaguer Nord,Barcelona,8,La Roca del Vallès,2,,POINT (2.34642 41.61451),939,22
,,,MENNEKES.F + Schuko,41.86187,2.66255,EdRsR Santa Coloma de Farners (AC22kW),22,AC,,"Passatge Ajuntament, 16",Girona,17,Santa Coloma de Farners,2,,POINT (2.66255 41.86187),634,20
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.407211,2.151497,B:SM 39 - Torrent de l'Olla,,,BSM002,"Carrer del Torrent de l'Olla, 221",Barcelona,8,Barcelona,3,cotxe,POINT (2.151497 41.407211),512,29
Ajuntament de Mataró,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.54943,2.43201,EdRR Mataró-Finlàndia -Mikko Kärnä- (DC50kW AC43kW),50,AC-DC,,"Carrer de Finlàndia, 2",Barcelona,8,Mataró,2,,POINT (2.43201 41.54943),701,25
Ajuntament d'Alella,VIA PUBLICA,NORMAL,Schuko,41.49187,2.295535,Riera Fosca-Riera Alella,,,,Riera Fosca-Riera Alella,Barcelona,8,Alella,2,,POINT (2.295535 41.49187),377,25
IBIL,ESTACIÓ DE SERVEI (IBIL),RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.596529,2.309376,IBIL-ES REPSOL C-352  (DC50kW AC43kW),50,AC-DC,,"Carretera de Barcelona, C-352",Barcelona,8,La Roca del Vallès,1,cotxe,POINT (2.309376 41.596529),939,22
